Line,LineName,Sub-Region of Primary Service,Predominant Vehicle Type,TSG Service Type, POP , EMP ,Schedule,DataCapture, Average One-Way Trip Distance (km) , Notes ,Service Change 1,Service Change 2,Service Change 3,Service Change 4,Service Change 5,Service Change 6,Service Change 7,Service Change 8,Service Change 9
363,SOUTHPOINT/PEACE ARCH HOSPITAL,South of Fraser,Mini-Bus,Standard,"31,000","13,000",http://infomaps.translink.ca/Public_Timetables/148/tt363.pdf,400m,11.9, Data reflects new service area to Morgan Creek in Sep 2017 ,"- Fall 2014, Add service (2 trips) late night (M-F) to extend hours of service","- Fall 2014, Reduce freq from 30 to 60m from 9-15hr, 19-21hr (M-F), 7-20hr (Sat) & 8-19hr (S/H)","- September 2017, Renumber former C53 to new 363; Reroute to Morgan Creek via 32nd Avenue","- April 2017, Increase service from 60 to 30m from 0900-1500 (M-F)",0,0,0,0,0
364,LANGLEY CENTRE/SCOTTSDALE EXCH,South of Fraser,Std. Bus,Standard,"59,000","22,000",http://infomaps.translink.ca/Public_Timetables/148/tt364.pdf,400m,21.7,,0,0,0,0,0,0,0,0,0
370,CLOVERDALE/WILLOWBROOK,South of Fraser,Mini-Bus,Basic,"30,000","10,000",http://infomaps.translink.ca/Public_Timetables/148/tt370.pdf,400m,10.5,,"- Fall 2014, Reduce freq from 30 to 60m from 9-15hr & 18-20hr (M-F)","- Winter 2014, Add one trip at 1500 leaving Willowbrook (M-F)","- Winter 2017, Operate route by contractor (M-F)","- Summer 2018, Change route name from C70 to 370",0,0,0,0,0
371,SURREY CENTRAL STN/SCOTT RD STN,South of Fraser,Mini-Bus,Basic,"27,000","11,000",http://infomaps.translink.ca/Public_Timetables/148/tt371.pdf,400m,8,,"- Spring 2018, Change route name from C71 to 371",0,0,0,0,0,0,0,0
372,CLAYTON HEIGHTS/LANGLEY CENTRE,South of Fraser,Mini-Bus,Standard,"29,000","13,000",http://infomaps.translink.ca/Public_Timetables/148/tt372.pdf,400m,10.2, New route to Clayton Heights starting Sep 2017 ,"- September 2017, Introduce new 30m service to Clayton Heights","- Winter 2017, Introduce new service span 20:00-21:00 running every 30m (Sun)",0,0,0,0,0,0,0
373,GUILDFORD EXCH/SURREY CENTRAL STN,South of Fraser,Mini-Bus,Basic,"52,000","17,000",http://infomaps.translink.ca/Public_Timetables/148/tt373.pdf,400m,13.6,,"- April 2017, Increase service from 30 to 20m during PM peak (M-F)","- Spring 2018, Change route name from C73 to 373",0,0,0,0,0,0,0
375,WHITE ROCK/WHITE ROCK SOUTH/GUILDFORD EXCH,South of Fraser,Std. Bus,Standard,"72,000","23,000",http://infomaps.translink.ca/Public_Timetables/148/tt375.pdf,400m,22.2,,"- April 2017, Extend 60m SB service until 2248hr (M-F; Sat)",0,0,0,0,0,0,0,0
388,22ND ST STN/CARVOLTH EXCH,South of Fraser,Mini-Bus,Peak Only Limited,"46,000","23,000",http://infomaps.translink.ca/Public_Timetables/148/tt388.pdf,400m,33.3, Low data sampling 2015 ,"- Spring 2016, Add one bus during AM & PM peak for Pattullo Bridge Rehabilitation (M-F)","- Fall 2016, End of Pattullo Bridge Rehabilitation; return to regular service levels (remove one bus during AM & PM peak)","- Winter 2018, Convert from community shuttle to standard 40' bus (all days)",0,0,0,0,0,0
391,SCOTTSDALE/SCOTT ROAD STN,South of Fraser,Std. Bus,Peak Only Limited,"33,000","6,000",http://infomaps.translink.ca/Public_Timetables/148/tt391.pdf,400m,9,,0,0,0,0,0,0,0,0,0
393,NEWTON EXCH/SURREY CENTRAL STN,South of Fraser,Std. Bus,Peak Only Limited,"57,000","19,000",http://infomaps.translink.ca/Public_Timetables/148/tt393.pdf,400m,13.2,,0,0,0,0,0,0,0,0,0
394,WHITE ROCK/KING GEORGE STN EXPRESS,South of Fraser,Std. Bus,Peak Only Limited,"51,000","27,000",http://infomaps.translink.ca/Public_Timetables/148/tt394.pdf,400m,20, Low data sampling 2018 ,"- Fall 2016, Adjust stopping procedure to make easier to understand and improve travel times",0,0,0,0,0,0,0,0
395,LANGLEY CENTRE/KING GEORGE STN,South of Fraser,Std. Bus,Peak Only Limited,"57,000","29,000",http://infomaps.translink.ca/Public_Timetables/148/tt395.pdf,400m,20.4,,"- Summer 2014, Relocate PM departure terminus from Surrey Central Station to King George Station","- Summer 2015, Revise eastern terminus from 200th St & 6th Ave to Langley Centre",0,0,0,0,0,0,0
401,ONE ROAD/BRIGHOUSE STN,Richmond,Std. Bus,Peak Frequent,"48,000","16,000",http://infomaps.translink.ca/Public_Timetables/148/tt401.pdf,400m,16.7, Data reflects split with 408 in Sep 2018 ,"- April 2017, Increase service from 10-15 to 9-12m during AM/PM peak; Increase service from 60 to 30m from 2200-2400 (M-F)","- Fall 2018, Former 401 route split at Brighouse Stn, this route serves Brighouse Stn to Steveston",0,0,0,0,0,0,0
402,TWO ROAD/BRIGHOUSE STN,Richmond,Std. Bus,Peak Frequent,"53,000","12,000",http://infomaps.translink.ca/Public_Timetables/148/tt402.pdf,400m,9.3,,"- Spring 2015, Add one trip to Richmond-Brighouse Station on AM peak shoulder (M-F)","- Fall 2018, Increase service 07:00-08:00 from every 12 to 10 min (M-F)",0,0,0,0,0,0,0
