Line,LineName,Sub-Region of Primary Service,Predominant Vehicle Type,TSG Service Type, POP , EMP ,Schedule,DataCapture, Average One-Way Trip Distance (km) , Notes ,Service Change 1,Service Change 2,Service Change 3,Service Change 4,Service Change 5,Service Change 6,Service Change 7,Service Change 8,Service Change 9
618,LADNER NORTH/LADNER EXCH,Ladner/South Delta/Tsaww.,Mini-Bus,Basic,"14,000","3,000",http://infomaps.translink.ca/Public_Timetables/148/tt618.pdf,400m,4.1,,"- Fall 2018, Change route name from C88 to 618",0,0,0,0,0,0,0,0
619,BOUNDARY BAY/SOUTH DELTA REC CENTRE,Ladner/South Delta/Tsaww.,Mini-Bus,Basic,"6,000","2,000",http://infomaps.translink.ca/Public_Timetables/148/tt619.pdf,400m,5.5,,"- Fall 2018, Change route name from C89 to 619",0,0,0,0,0,0,0,0
620,TSAWWASSEN FERRY/BRIDGEPORT STN,Ladner/South Delta/Tsaww.,Artic. Bus,Standard,"8,000","4,000",http://infomaps.translink.ca/Public_Timetables/148/tt620.pdf,400m,27.7,,"- Fall 2016, Adjust stopping procedure to provide a more direct and faster service btwn Bridgeport and Tsawwassen Ferry","- September 2017, Add 1 additional trip per hour to meet ferry from 1500-1900 M-F, 800-1400 Sat, 1000-2300 S/H",0,0,0,0,0,0,0
640,LADNER EXCH/SCOTT ROAD STN,South of Fraser,Std. Bus,Standard,"12,000","12,000",http://infomaps.translink.ca/Public_Timetables/148/tt640.pdf,400m,24,,"- Spring 2015, Increase freq from 30 to 20m during PM peak (M-F)",0,0,0,0,0,0,0,0
701,HANEY/MAPLE RIDGE EAST/COQUITLAM CTRL STN,Maple Ridge/Pitt Meadows,Std. Bus,All Day Frequent,"54,000","26,000",http://infomaps.translink.ca/Public_Timetables/148/tt701.pdf,400m,23.3, Data reflects Evergreen Extension integration in Dec 2016 ,"- December 2016, Reroute due to Evergreen Extension; Reroute eastern segment of select trips to new terminus at Mission City Station via Lougheed Hwy (formerly served by WCE TrainBus)",0,0,0,0,0,0,0,0
719/722,MEADOWTOWN/FRASER WAY?BONSON,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,"16,000","5,000",http://infomaps.translink.ca/Public_Timetables/148/tt719.pdf; http://infomaps.translink.ca/Public_Timetables/148/tt722.pdf,400m,5.8, 719/722 run as a connected loop; Low data sampling 2016 ,"- Spring 2014, Conversion of two-way 60m AM/PM peak service to counter-clockwise 30m AM peak & clockwise 30m PM peak (M-F)","- Fall 2018, Introduce new routes, route 719 replaces eastern portion of C41 from Meadowtown to Fraser Way, route 722 replaces western portion of C41 from Meadowtown to Fraser Way
- Route 722: Extend all trips to Maple Meadows","- Winter 2018, Adjust schedule to match previous C41 schedule (all days)",0,0,0,0,0,0
733,ROCK RIDGE/HANEY PLACE/PORT HANEY STN,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,"19,000","6,000",http://infomaps.translink.ca/Public_Timetables/148/tt733.pdf,400m,7, New route to Silver Valley starting Sep 2017 ,"- September 2017, Reroute eastern portion of former C47 as new 733; Introduce new 30-45m service to Silver Valley","- Winter 2017, Introduce new service span 07:00-08:00 with one new trip (Sun)",0,0,0,0,0,0,0
741,ANDERSON CREEK/HANEY PLACE/PORT HANEY STN,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,"17,000","6,000",http://infomaps.translink.ca/Public_Timetables/148/tt741.pdf,400m,7, New route to Silver Valley starting Sep 2017 ,"- September 2017, Reroute western portion of former C47 as new 741; Introduce new 30-45m service to Silver Valley","- Winter 2017, Introduce new service span 07:00-08:00 with one new trip (Sun)",0,0,0,0,0,0,0
743,HANEY PL/MAPLE MDWS STN/MEADOWTOWN,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,"25,000","10,000",http://infomaps.translink.ca/Public_Timetables/148/tt743.pdf,400m,9.9, Low data sampling 2016 ,"- Fall 2014, Reduce freq from 30 to 60m from 9-15h, 18-20hr (M-F) & all day (Sat)","- Summer 2018, Change route name from C43 to 743","- Fall 2018, Extend all trips to Meadowtown",0,0,0,0,0,0
744,HANEY PL/MAPLE MDWS STN/MEADOWTOWN,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,"28,000","10,000",http://infomaps.translink.ca/Public_Timetables/148/tt744.pdf,400m,10.4, Low data sampling 2016 ,"- Fall 2014, Reduce freq from 30 to 60m from 9-15hr (M-F) & all day (Sat)","- Summer 2018, Change route name from C44 to 744","- Fall 2018, Extend all trips to Meadowtown",0,0,0,0,0,0
