Year,line_no,Annual_APC_Boardings,AVG_Daily_APC_Boardings_MF,AVG_Daily_APC_Boardings_Sat,AVG_Daily_APC_Boardings_SunHol,Annual_Service_Cost,Annual_Revenue_Hours,Annual_Service_Hours,Service_Cost_Per_APC_Boarding,Average_APC_Boarding_Per_Revenue_Hour,Average_Passenger_Turnover,Perc_Trips_w_Overcrowding,Average_Passenger_Load_Bi_Directional,Average_Peak_Load_Factor,Average_Capacity_Utilization,Percentage_of_Revenue_Hours_with_Overcrowding,Annual_Revenue_Hours_with_Overcrowding,On_Time_Performance_Percentage,Bus_Bunching_Percentage,AVG_speed_km_per_hr
2015,123,2087895.78247086,6692.79387216337,3928.42262965793,3426.13814728077,3975772.5,36205.8333333333,37864.5,1.90420064707204,57.6673864470511,80.5718194781375,2.815293893855,23.4392265386516,46.8784530773034,NULL,3.29098,1191.49776916667,85.253832091126,0.704024882047,21.1693946971137
2016,123,2128774.18729946,6833.2386095153,3924.92348008386,3427.44317460318,4058559.75,36461.1333333333,38652.95,1.90652431536134,58.384750902773,86.2074433138371,5.702000373901,25.8386000053414,51.677200010683,24.6024035039779,6.765776,2466.85089793333,86.918021573756,0.914472839749,20.9503812018117
2017,123,2335401.06849084,7500.91327331894,4142.51518920295,3916.09143323996,4146425.5,36929.85,39489.7666666667,1.77546613125405,63.2388452292885,93.4148419443707,7.202576329968,27.149623616322,54.2992472326439,25.5027363914852,8.523351,3147.64190505,84.758926770223,1.288466657218,20.808981230018
2018,123,2689112.6164394,8549.95427431867,5253.75285108775,4440.3955489418,4263064.75,37886.1166666667,40600.6166666667,1.58530539923785,70.9788400880201,96.9973524267268,7.123485807268,28.4431433957092,56.8862867914184,27.3162215639616,8.250906,3125.94560005,89.0455947016,0.967615316194,21.0479623730153
2014,125,164409.783558108,978.62966403636,NULL,NULL,307587,1383.8,2929.4,1.87085581735644,118.810365340445,45.0676024207274,3.59477124183,29.575427758516,43.5833993348699,NULL,3.766387,52.1180594,81.956562093929,2.839262950515,20.7967038652151
2015,125,155267.161965812,982.703556745645,NULL,NULL,292666.5,1333.7,2787.3,1.88492206783841,116.418356426342,47.8834249084249,9.482001755926,29.0796658090227,48.3157564381446,NULL,10.126926,135.0624653,86.513089005235,2.180319307669,18.1892029215733
2016,125,178397.03065726,1031.1967090015,NULL,NULL,348610.5,1502.9,3320.1,1.95412725601783,118.701863502069,67.76768707483,20.198412698412,32.2409977324263,64.4819954648526,53.8857309813991,22.364462,336.1145676,85.729867296855,2.483354327874,17.0155776526387
2017,125,160248.053725051,890.266965139173,NULL,NULL,408507.75,1601.55,3890.55,2.54922128852127,100.058102291562,51.7827363729105,4.77495107632,24.0274832686228,48.0549665372458,39.1864867717138,5.171448,82.8225567,85.342748880468,3.567234516311,17.1449285978706
2018,125,153185.667062184,885.466283596439,NULL,NULL,399077,1527.13333333333,3800.73333333333,2.6051849866476,100.309294361233,56.2474829464716,5.988258317025,26.344747571527,52.6894951430539,41.8421701622468,6.671764,101.8857546,92.104353835521,1.49695954331,17.9784176865863
2014,128,609098.701370254,1998.31745310006,1120.73049450549,828.120530835285,1745070.25,15021.2333333333,16619.7166666667,2.86500405611474,40.5491804736576,42.68281222542,0.045630846452,13.5306103433413,27.0612206866827,NULL,0.063669,9.5535044,92.658764048782,0.295382779963,21.1109597546869
2015,128,642401.909289584,2114.34037049167,1159.52124183007,865.688524590164,1720540.5,14995.5166666667,16386.1,2.67829294265751,42.8395982325551,48.4899308740936,0.250969655487,14.9864473659801,29.9615087493217,NULL,0.352632,52.8741917666667,94.605596223575,0.236478755053,21.897994345756
2016,128,722331.751989363,2382.5975533787,1243.25340210104,986.210000000001,1706227.25,14885.95,16249.7833333333,2.36211027038602,48.5243973000959,50.5229655730957,0.091449474165,16.0635689151764,32.1271378303528,20.3993089389167,0.12615,18.77118295,92.405490169628,0.584814316864,22.0048831210332
2017,128,740894.864352044,2468.97482477574,1267.27157142857,924.414285714286,1635697,14289.45,15578.0666666667,2.20773159418579,51.849081969708,55.1621796586796,0.535124672663,17.2712958947974,34.5425917895947,20.9073517940351,0.7013,100.21191285,91.335837817714,0.553139042891,21.87142584153
2018,128,840471.970246554,2795.49065457929,1432.52239010989,1068.00237193362,1807191.75,16152.9166666667,17211.35,2.15021061257981,52.0322111226489,57.3063631951319,1.689933872152,18.0656500768643,36.1313001537285,22.0245057430533,2.270094,366.671208333333,94.287582106278,0.253025490023,21.7508792249336
2014,129/133,2112357.80356943,6957.27610576401,3520.90451770452,3068.74987225889,4659474.75,41934.3,44375.95,2.20581699848695,50.3730312314604,135.993725528539,0.18691588785,23.0594720682571,46.1189441365142,NULL,0.172959,72.5044047,76.302825114326,0.700802861948,20.7049289114201
2015,129/133,2068620.32395819,6785.38002916608,3482.03384687209,3082.15722092116,4539027.5,40890.4833333333,43228.8333333333,2.19422938440189,50.5892852157088,124.4533603341,0.2492211838,20.170854648782,40.3417092975643,NULL,0.261998,107.09217585,74.128503075871,0.54612511124,20.0391922941892
2016,129/133,1969527.7437834,6514.65693337535,3240.42587601078,2748.60176129427,4597827.5,41246.1,43788.8333333333,2.33448222017311,47.7506417281488,129.974466340167,1.72377985462,21.7861861814198,43.5723723628397,20.6694789121617,1.913778,789.3266157,74.46339248389,0.716967133263,19.740753997756
2017,129/133,2149296.77492173,7166.00035540813,3552.07561904762,2768.24707259953,4566749.25,41098.15,43492.85,2.12476438958334,52.2966794106724,142.129983446914,2.546847499741,22.2043166573212,44.4086333146423,18.6852808061852,2.910895,1196.2849502,73.648453727209,0.95641250163,19.7835406512998
2018,129/133,2400093.9523869,7969.35112325611,3990.73691724942,3207.02272967773,4540098.5,40611.2833333333,43239.0333333333,1.89163365687617,59.0991900622093,74.5010423186018,1.028250934773,17.5223157467061,35.0446314934123,16.1679226283841,0.88076,357.663572316667,80.447032852121,1.038480376404,20.3432388354853
2014,130,3403637.66987167,11159.1490206455,5978.59607555905,4920.02325870851,5776298.5,52948.5,55012.3666666667,1.69709559602382,64.2820414151803,90.8715849471788,9.631705039184,28.5155571121127,57.0311142242254,NULL,11.804943,6250.5174765,79.44784190345,2.950127261909,18.6961015638626
2015,130,3678658.64119867,11830.5632535393,7140.9102474323,5687.91647860336,5978327.25,55043.75,56936.45,1.62513781057217,66.8315411140896,98.3626006998336,9.440857595322,29.9666707911127,59.933341582225,NULL,12.053693,6634.75345,84.388273075727,1.950291972802,17.7361215053033
2016,130,3641869.60662034,11770.7097643546,6682.94667842638,5586.97319291819,6046743.5,55666.15,57588.0333333333,1.66034047155559,65.4234145278655,93.9923108273852,11.000121817517,29.607918479265,59.2158369585299,36.249600393757,14.219861,7915.6151977,85.73334441792,2.120367086465,17.502718736455
2017,130,3655731.80051913,11817.7616628671,6958.87332207008,5445.60038856795,6254753.75,57268.6833333333,59569.0833333333,1.71094437209858,63.8347450602431,89.6199050193149,7.164190248637,28.8963776135833,57.7927552271664,36.0924100632821,10.053775,5757.62161628333,85.468394689939,2.397952960066,17.3729861406988
2018,130,3884620.17453441,13097.3921325127,7596.3996111111,5875.84810419465,6650638.75,60347.0166666667,63339.4166666667,1.71204350777927,64.3713706013262,95.7967452391674,9.457445222834,30.1815908326587,60.3631816653176,38.6207635625153,12.904379,7787.36007171667,86.553307998443,2.979943090642,17.3193380778309
2014,131,44413.0727603478,141.977408158508,91.6036036036036,68.120218579235,349989.2,4392,5302.86666666667,7.88031942506064,10.1122661111903,12.2419854996506,0,2.17563356485827,9.06513985357615,NULL,0,0,92.073045619314,0.008658133595,23.1822636965914
2015,131,37906.4732351418,115.48548028548,91.9903846153846,71.2064516129032,351136.5,4404.35,5320.25,9.26323316394609,8.60659875694297,13.6284325828102,0,2.4125143353067,10.0521430637779,NULL,0,0,91.43436037169,0.010788369393,22.7420498436951
2016,131,44824.1537368762,145.603201154401,77.3632075471698,72.051724137931,353276,4397.6,5352.66666666667,7.88137578845945,10.1928674133337,12.8877907820418,0,2.14148457362743,8.9228523901143,3.68200727311622,0,0,88.456150182123,0.044591928117,22.5725451873644
2017,131,51519.2873141772,165.913050181857,106.80487804878,72.8448275862069,356268,4398.16666666667,5398,6.91523541130123,11.7138096890774,15.1445974959331,0,2.83575159503319,11.8156316459717,5.60810999165192,0,0,89.663528108557,0.040234236409,21.788268988858
2018,131,43412.311910775,144.018660976433,71.4816666666667,61.0433333333333,354728,4393.58333333333,5374.66666666667,8.17113819529054,9.88084408947329,14.3085746563108,0,2.47811958899407,10.3254982874753,4.99191762190335,0,0,92.13139801375,0.03481077595,21.794360252355
2014,132,42387.8283716284,132.47598015318,100.833333333333,65.9918032786885,191180,2896.66666666667,2896.66666666667,4.51025700877763,14.6333124412986,11.9808201058201,0,2.99490019569472,12.4787508153947,NULL,0,0,87.525674380391,0.017252927923,22.5249792613799
2015,132,29292.6712823068,83.8898970398971,81.3717948717949,68.3645161290323,190748.8,2890.13333333333,2890.13333333333,6.51182673514707,10.1354048079581,11.4379897528632,0,2.62172242314647,10.923843429777,NULL,0,0,88.331820403603,0.042134118483,22.2451675713539
2016,132,44032.5597135623,139.214985980686,82.4889937106918,80.948275862069,190822.5,2891.25,2891.25,4.33366811380774,15.229592637635,13.4161029625165,0,3.19318551090204,13.3049396287586,7.12402641606512,0,0,84.471133586177,0.044030791187,22.1386766593154
2017,132,53706.5754707492,170.061014969979,103.948490127758,93.6120689655172,190687.2,2889.2,2889.2,3.55053730997718,18.5887357990964,14.9426991062763,0,3.74921636768473,15.6217348653531,9.23464153960492,0,0,85.964912280701,0.04787701851,22.1374507671764
2018,132,44716.6349388774,144.428674993605,77.6241666666667,74.8668253968254,190548.6,2887.1,2887.1,4.26124640775091,15.4884260811463,12.5637587059119,0,2.3765080363453,9.90211681810536,4.40776556250223,0,0,89.01770218674,0.036265621171,22.062784518042
2014,134,397967.579179272,1267.42508814566,784.695283882784,656.109055425449,1675808.7,16905.85,17740.3833333333,4.21091764172352,23.5402289254472,41.9080766351197,0.02668801708,9.13549889973029,21.984067143825,NULL,0.036313,6.13682355,89.78426022261,0.028729027809,25.5122227903241
2015,134,494421.674952825,1624.37046647797,834.720588235294,715.477732240437,1725608.6,17336.5166666667,18202.25,3.49015564530954,28.5190897606012,51.230107954973,1.189532117367,11.7049848578596,27.7661409642873,NULL,0.802524,139.12554625,90.145081387119,0.017774879453,24.5543518043228
2016,134,495278.097341547,1624.06637031857,813.930817610064,744.030634920635,1778135.15,17501.9666666667,18728.8,3.59017521579152,28.2984253583814,50.7567384912375,0.991824152258,11.8087385645638,27.7628340151399,10.6945873784904,1.321714,231.323493433333,90.112120626329,0.153131448304,23.4666861904568
2017,134,549222.782238296,1783.42673668328,985.832467865468,842.656523565902,1831923.05,17462.1666666667,19238.8,3.33548262971577,31.452155549901,56.7923230734387,0.340314136125,12.7867534506257,30.0504104031592,12.5559228651543,0.338374,59.0745098333333,88.674853052435,0.159606364079,23.409267319189
